YEAR,STATE DESCRIPTION,STATE _CODE_x,NAICS_CODE_x,INDUSTRY,ENTERPRISE_EMPLOYMENT_SIZE_x,NUMBER_OF_FILMS_SMALL,NUMBER_OF_ESTABLISHMENTS_SMALL,EMPLOYMENT_SMALL,ANNUAL_PAYROLL _SMALL,SALARY_EMP_SMALL,STATE _CODE_y,NAICS_CODE_y,ENTERPRISE_EMPLOYMENT_SIZE_y,NUMBER_OF_FILMS_LARGE,NUMBER_OF_ESTABLISHMENTS_LARGE,EMPLOYMENT_LARGE,ANNUAL_PAYROLL _LARGE,SALARY_EMP_LARGE
2012,Idaho,ID,54,"Professional, scientific, and technical services",08:  <500,3872,3946,17554,784267000.0,44677.395469999996,ID,54,09:  500+,128.0,297.0,13603.0,913178000.0,67130.63295
2012,Idaho,ID,55,Management of companies and enterprises,08:  <500,118,123,1718,96678000.0,56273.57392,ID,55,09:  500+,65.0,115.0,4863.0,425789000.0,87556.85791
2012,Idaho,ID,56,Administrative and support and waste management and remediation services,08:  <500,1962,1992,14315,369202000.0,25791.2679,ID,56,09:  500+,104.0,198.0,19459.0,510930000.0,26256.74495
2012,Idaho,ID,61,Educational services,08:  <500,401,418,5231,106820000.0,20420.56968,ID,61,09:  500+,18.0,26.0,6379.0,132845000.0,20825.36448
2012,Idaho,ID,62,Health care and social assistance,08:  <500,4109,4543,47834,1546779000.0,32336.392519999998,ID,62,09:  500+,95.0,338.0,34982.0,1612011000.0,46081.15602
2012,Idaho,ID,71,"Arts, entertainment, and recreation",08:  <500,695,710,6905,132184000.0,19143.22954,ID,71,09:  500+,9.0,19.0,2170.0,16499000.0,7603.225806
2012,Idaho,ID,72,Accommodation and food services,08:  <500,2787,3167,36983,486421000.0,13152.55658,ID,72,09:  500+,70.0,416.0,16822.0,255618000.0,15195.458330000001
2012,Idaho,ID,81,Other services (except public administration),08:  <500,3017,3146,15909,369368000.0,23217.54981,ID,81,09:  500+,47.0,128.0,1988.0,53571000.0,26947.1831
2012,Idaho,ID,--,Total,08:  <500,34769,37576,278100,8639009000.0,31064.3977,ID,--,09:  500+,1197.0,5323.0,215686.0,8966420000.0,41571.63655
2012,Idaho,ID,31-33,Manufacturing,08:  <500,1608,1637,23953,890947000.0,37195.63311,ID,31-33,09:  500+,80.0,131.0,30531.0,1783292000.0,58409.223410000006
2012,Idaho,ID,44-45,Retail trade,08:  <500,3714,4417,31842,855690000.0,26872.99793,ID,44-45,09:  500+,237.0,1406.0,41272.0,981700000.0,23786.10196
2012,Idaho,ID,48-49,Transportation and warehousing,08:  <500,1542,1565,10736,358427000.0,33385.52534,ID,48-49,09:  500+,73.0,180.0,6343.0,239456000.0,37751.22182
2012,Illinois,IL,11,"Agriculture, forestry, fishing and hunting",08:  <500,307,318,1483,59197000.0,39917.06001,,,,,,,,
2012,Illinois,IL,21,"Mining, quarrying, and oil and gas extraction",08:  <500,453,494,5059,314393000.0,62145.28563,IL,21,09:  500+,31.0,69.0,3790.0,275079000.0,72580.21108
2012,Illinois,IL,22,Utilities,08:  <500,145,172,3126,234331000.0,74961.93217999999,IL,22,09:  500+,24.0,317.0,24546.0,2602994000.0,106045.5471
2012,Illinois,IL,23,Construction,08:  <500,27779,27860,153707,9416655000.0,61263.67049,IL,23,09:  500+,116.0,227.0,26761.0,2229860000.0,83324.98786000001
2012,Illinois,IL,42,Wholesale trade,08:  <500,15189,16606,172090,10362681000.0,60216.63664,IL,42,09:  500+,810.0,2687.0,135535.0,10292521000.0,75939.94909
2012,Illinois,IL,51,Information,08:  <500,2706,2830,35085,2196177000.0,62595.895679999994,IL,51,09:  500+,286.0,2456.0,83764.0,6576510000.0,78512.36808
2012,Illinois,IL,52,Finance and insurance,08:  <500,12112,14508,104741,8483776000.0,80997.6609,IL,52,09:  500+,460.0,7864.0,187881.0,20136145000.0,107174.9937
2012,Illinois,IL,53,Real estate and rental and leasing,08:  <500,9354,10088,49745,2416040000.0,48568.49935,IL,53,09:  500+,194.0,1827.0,21950.0,1302324000.0,59331.389520000004
2012,Illinois,IL,54,"Professional, scientific, and technical services",08:  <500,36030,36657,207070,14611057000.0,70560.95522999999,IL,54,09:  500+,595.0,2150.0,161634.0,14917420000.0,92291.34959
2012,Illinois,IL,55,Management of companies and enterprises,08:  <500,801,829,18397,1620322000.0,88075.33837,IL,55,09:  500+,655.0,1412.0,164539.0,20051248000.0,121863.1935
2012,Illinois,IL,56,Administrative and support and waste management and remediation services,08:  <500,14276,14540,156996,5664982000.0,36083.60723,IL,56,09:  500+,501.0,2273.0,313355.0,9142251000.0,29175.379360000003
2012,Illinois,IL,61,Educational services,08:  <500,3573,3724,63385,1876964000.0,29612.116430000002,IL,61,09:  500+,126.0,338.0,96089.0,4274563000.0,44485.45619
2012,Illinois,IL,62,Health care and social assistance,08:  <500,25961,29431,347374,13840054000.0,39841.93981,IL,62,09:  500+,353.0,3703.0,422643.0,19252120000.0,45551.73042
2012,Illinois,IL,71,"Arts, entertainment, and recreation",08:  <500,4130,4236,50908,1675200000.0,32906.41942,IL,71,09:  500+,68.0,302.0,26418.0,698656000.0,26446.210919999998
2012,Illinois,IL,72,Accommodation and food services,08:  <500,20443,22094,290397,4533375000.0,15610.956719999998,IL,72,09:  500+,297.0,4991.0,176755.0,3517882000.0,19902.588330000002
2012,Illinois,IL,81,Other services (except public administration),08:  <500,29189,30338,206585,6148171000.0,29760.9749,IL,81,09:  500+,197.0,1487.0,36986.0,1589037000.0,42963.20229
