YEAR,STATE DESCRIPTION,STATE _CODE,NAICS_CODE,INDUSTRY,ENTERPRISE_EMPLOYMENT_SIZE,NUMBER_OF_FILMS_SMALL,NUMBER_OF_ESTABLISHMENTS_SMALL,EMPLOYMENT_SMALL,ANNUAL_PAYROLL _SMALL,SALARY_EMP_SMALL
2012,Massachusetts,MA,81,Other services (except public administration),08:  <500,15796,16394,102335,3059737000,29899.22314
2012,Massachusetts,MA,99,Industries not classified,08:  <500,218,218,364,10636000,29219.78022
2012,Massachusetts,MA,--,Total,08:  <500,135365,144936,1404234,69431180000,49444.16671
2012,Massachusetts,MA,31-33,Manufacturing,08:  <500,6181,6277,122337,6816268000,55717.14199
2012,Massachusetts,MA,44-45,Retail trade,08:  <500,15752,17435,122915,4180523000,34011.49575
2012,Massachusetts,MA,48-49,Transportation and warehousing,08:  <500,2906,2985,34603,1271487000,36744.99321
2012,Michigan,MI,11,"Agriculture, forestry, fishing and hunting",08:  <500,525,526,3192,108486000,33986.84211
2012,Michigan,MI,21,"Mining, quarrying, and oil and gas extraction",08:  <500,311,324,3091,200453000,64850.53381
2012,Michigan,MI,22,Utilities,08:  <500,78,111,1974,267555000,135539.5137
2012,Michigan,MI,23,Construction,08:  <500,17906,17982,99997,5434284000,54344.47033
2012,Michigan,MI,42,Wholesale trade,08:  <500,8945,9793,100535,5766032000,57353.47889
2012,Michigan,MI,51,Information,08:  <500,1508,1601,19793,987739000,49903.45071
2012,Michigan,MI,52,Finance and insurance,08:  <500,6649,8237,58452,3140638000,53730.20598
